,,class,0
sepal length,count,Iris-setosa,50.0
sepal length,count,Iris-versicolor,50.0
sepal length,count,Iris-virginica,50.0
sepal length,mean,Iris-setosa,5.005999999999999
sepal length,mean,Iris-versicolor,5.936
sepal length,mean,Iris-virginica,6.587999999999998
sepal length,std,Iris-setosa,0.3524896872134512
sepal length,std,Iris-versicolor,0.5161711470638635
sepal length,std,Iris-virginica,0.635879593274432
sepal length,min,Iris-setosa,4.3
sepal length,min,Iris-versicolor,4.9
sepal length,min,Iris-virginica,4.9
sepal length,25%,Iris-setosa,4.8
sepal length,25%,Iris-versicolor,5.6
sepal length,25%,Iris-virginica,6.225
sepal length,50%,Iris-setosa,5.0
sepal length,50%,Iris-versicolor,5.9
sepal length,50%,Iris-virginica,6.5
sepal length,75%,Iris-setosa,5.2
sepal length,75%,Iris-versicolor,6.3
sepal length,75%,Iris-virginica,6.9
sepal length,max,Iris-setosa,5.8
sepal length,max,Iris-versicolor,7.0
sepal length,max,Iris-virginica,7.9
sepal width,count,Iris-setosa,50.0
sepal width,count,Iris-versicolor,50.0
sepal width,count,Iris-virginica,50.0
sepal width,mean,Iris-setosa,3.4180000000000006
sepal width,mean,Iris-versicolor,2.7700000000000005
sepal width,mean,Iris-virginica,2.9739999999999998
sepal width,std,Iris-setosa,0.38102439795469095
sepal width,std,Iris-versicolor,0.3137983233784114
sepal width,std,Iris-virginica,0.3224966381726376
sepal width,min,Iris-setosa,2.3
sepal width,min,Iris-versicolor,2.0
sepal width,min,Iris-virginica,2.2
sepal width,25%,Iris-setosa,3.125
sepal width,25%,Iris-versicolor,2.525
sepal width,25%,Iris-virginica,2.8
sepal width,50%,Iris-setosa,3.4
sepal width,50%,Iris-versicolor,2.8
sepal width,50%,Iris-virginica,3.0
sepal width,75%,Iris-setosa,3.6750000000000003
sepal width,75%,Iris-versicolor,3.0
sepal width,75%,Iris-virginica,3.1750000000000003
sepal width,max,Iris-setosa,4.4
sepal width,max,Iris-versicolor,3.4
sepal width,max,Iris-virginica,3.8
petal length,count,Iris-setosa,50.0
petal length,count,Iris-versicolor,50.0
petal length,count,Iris-virginica,50.0
petal length,mean,Iris-setosa,1.464
petal length,mean,Iris-versicolor,4.26
petal length,mean,Iris-virginica,5.552
petal length,std,Iris-setosa,0.1735111594364455
petal length,std,Iris-versicolor,0.46991097723995806
petal length,std,Iris-virginica,0.5518946956639835
petal length,min,Iris-setosa,1.0
petal length,min,Iris-versicolor,3.0
petal length,min,Iris-virginica,4.5
petal length,25%,Iris-setosa,1.4
petal length,25%,Iris-versicolor,4.0
petal length,25%,Iris-virginica,5.1
petal length,50%,Iris-setosa,1.5
petal length,50%,Iris-versicolor,4.35
petal length,50%,Iris-virginica,5.55
petal length,75%,Iris-setosa,1.5750000000000002
petal length,75%,Iris-versicolor,4.6
petal length,75%,Iris-virginica,5.875
petal length,max,Iris-setosa,1.9
petal length,max,Iris-versicolor,5.1
petal length,max,Iris-virginica,6.9
petal width,count,Iris-setosa,50.0
petal width,count,Iris-versicolor,50.0
petal width,count,Iris-virginica,50.0
petal width,mean,Iris-setosa,0.2439999999999999
petal width,mean,Iris-versicolor,1.3259999999999998
petal width,mean,Iris-virginica,2.026
petal width,std,Iris-setosa,0.10720950308167837
petal width,std,Iris-versicolor,0.197752680004544
petal width,std,Iris-virginica,0.27465005563666733
petal width,min,Iris-setosa,0.1
petal width,min,Iris-versicolor,1.0
petal width,min,Iris-virginica,1.4
petal width,25%,Iris-setosa,0.2
petal width,25%,Iris-versicolor,1.2
petal width,25%,Iris-virginica,1.8
petal width,50%,Iris-setosa,0.2
petal width,50%,Iris-versicolor,1.3
petal width,50%,Iris-virginica,2.0
petal width,75%,Iris-setosa,0.3
petal width,75%,Iris-versicolor,1.5
petal width,75%,Iris-virginica,2.3
petal width,max,Iris-setosa,0.6
petal width,max,Iris-versicolor,1.8
petal width,max,Iris-virginica,2.5
